Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-06-24 00:00:00+05:30,1305.699951171875,1322.0,1297.5,1313.5999755859375,11030917,0.0,0.0
2026-06-25 00:00:00+05:30,1318.0,1328.0,1314.5999755859375,1318.0999755859375,12694362,0.0,0.0
2026-06-26 00:00:00+05:30,1318.0999755859375,1318.0999755859375,1318.0999755859375,1318.0999755859375,0,0.0,0.0
2026-06-29 00:00:00+05:30,1308.0,1313.699951171875,1292.5999755859375,1301.0,13757656,0.0,0.0
2026-06-30 00:00:00+05:30,1306.9000244140625,1306.9000244140625,1290.0,1293.9000244140625,15695263,0.0,0.0
2026-07-01 00:00:00+05:30,1298.9000244140625,1312.199951171875,1296.5,1308.0,7001401,0.0,0.0
2026-07-02 00:00:00+05:30,1310.0,1313.199951171875,1299.0,1303.5,17795024,0.0,0.0
2026-07-03 00:00:00+05:30,1312.0,1312.0,1302.0,1304.0,7839550,0.0,0.0
2026-07-06 00:00:00+05:30,1304.0,1325.5999755859375,1299.4000244140625,1321.300048828125,7610709,0.0,0.0
2026-07-07 00:00:00+05:30,1323.5,1328.0,1304.0999755859375,1308.4000244140625,14335554,0.0,0.0
2026-07-08 00:00:00+05:30,1297.0,1302.300048828125,1271.5999755859375,1275.9000244140625,19960868,0.0,0.0
2026-07-09 00:00:00+05:30,1277.0999755859375,1296.5,1274.199951171875,1279.800048828125,14651963,0.0,0.0
2026-07-10 00:00:00+05:30,1291.9000244140625,1311.0999755859375,1287.800048828125,1307.800048828125,8412537,0.0,0.0
2026-07-13 00:00:00+05:30,1300.0,1306.4000244140625,1295.0,1296.9000244140625,9488352,0.0,0.0
2026-07-14 00:00:00+05:30,1290.0,1308.0,1286.9000244140625,1293.0,13511284,0.0,0.0
2026-07-15 00:00:00+05:30,1294.0999755859375,1310.9000244140625,1294.0999755859375,1295.5,9577965,0.0,0.0
2026-07-16 00:00:00+05:30,1295.5,1309.4000244140625,1291.800048828125,1296.5999755859375,15631046,0.0,0.0
2026-07-17 00:00:00+05:30,1300.0,1330.300048828125,1296.0999755859375,1327.199951171875,18302218,0.0,0.0
2026-07-20 00:00:00+05:30,1317.199951171875,1345.9000244140625,1314.9000244140625,1323.0999755859375,14305844,0.0,0.0
2026-07-21 00:00:00+05:30,1321.0,1326.9000244140625,1302.699951171875,1303.699951171875,12753410,0.0,0.0
2026-07-22 00:00:00+05:30,1302.0,1304.5999755859375,1280.699951171875,1288.5999755859375,10840383,0.0,0.0
2026-07-23 00:00:00+05:30,1283.0,1287.300048828125,1268.0,1272.199951171875,12580741,0.0,0.0
2026-07-24 00:00:00+05:30,1265.0,1283.4000244140625,1249.800048828125,1278.0,9817000,0.0,0.0
