Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-06-30 00:00:00+05:30,1030.0,1030.4000244140625,996.0,1000.4000244140625,24128263,0.0,0.0
2026-07-01 00:00:00+05:30,1006.0,1014.0,982.4000244140625,985.2999877929688,13037982,0.0,0.0
2026-07-02 00:00:00+05:30,1006.4000244140625,1045.0,1006.0,1040.9000244140625,18741111,0.0,0.0
2026-07-03 00:00:00+05:30,1063.0,1068.699951171875,1042.0,1047.199951171875,11653534,0.0,0.0
2026-07-06 00:00:00+05:30,1050.0999755859375,1053.0,1033.0,1042.199951171875,5559747,0.0,0.0
2026-07-07 00:00:00+05:30,1040.5999755859375,1087.5,1040.5999755859375,1071.800048828125,18866296,0.0,0.0
2026-07-08 00:00:00+05:30,1071.9000244140625,1079.699951171875,1064.4000244140625,1069.300048828125,13022221,0.0,0.0
2026-07-09 00:00:00+05:30,1062.699951171875,1062.699951171875,1040.4000244140625,1050.800048828125,9003333,0.0,0.0
2026-07-10 00:00:00+05:30,1075.0,1091.300048828125,1064.699951171875,1068.0,9747266,0.0,0.0
2026-07-13 00:00:00+05:30,1057.0999755859375,1114.9000244140625,1057.0999755859375,1102.5999755859375,20994760,0.0,0.0
2026-07-14 00:00:00+05:30,1107.800048828125,1113.5,1090.0,1092.9000244140625,14819413,0.0,0.0
2026-07-15 00:00:00+05:30,1079.0,1088.0999755859375,1073.0,1076.300048828125,8501933,0.0,0.0
2026-07-16 00:00:00+05:30,1082.5,1097.300048828125,1077.9000244140625,1082.4000244140625,8592146,0.0,0.0
2026-07-17 00:00:00+05:30,1105.0,1116.800048828125,1092.0,1096.5,12547728,0.0,0.0
2026-07-20 00:00:00+05:30,1102.0,1103.800048828125,1083.199951171875,1087.0999755859375,6372645,0.0,0.0
2026-07-21 00:00:00+05:30,1080.0,1094.5,1067.199951171875,1073.5,9485229,0.0,0.0
2026-07-22 00:00:00+05:30,1064.0,1069.300048828125,1046.199951171875,1052.0999755859375,7517203,0.0,0.0
2026-07-23 00:00:00+05:30,1046.9000244140625,1058.5,1032.0,1047.4000244140625,13794578,0.0,0.0
2026-07-24 00:00:00+05:30,1028.0,1043.4000244140625,1013.9000244140625,1040.9000244140625,29036900,0.0,0.0
2026-07-27 00:00:00+05:30,1065.0,1082.0,1057.4000244140625,1079.199951171875,15956349,0.0,0.0
2026-07-28 00:00:00+05:30,1097.0,1118.5,1097.0,1105.699951171875,28100895,0.0,0.0
2026-07-29 00:00:00+05:30,1147.0,1164.5,1128.4000244140625,1155.5999755859375,34400369,0.0,0.0
2026-07-30 00:00:00+05:30,1168.0,1187.699951171875,1151.300048828125,1155.0999755859375,22630218,0.0,0.0
2026-07-31 00:00:00+05:30,1118.9000244140625,1139.300048828125,1107.199951171875,1130.0999755859375,14365562,0.0,0.0
