Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-06-17 00:00:00+05:30,2196.9542720106556,2218.8343055028395,2188.6994835403766,2210.8779296875,2865010,0.0,0.0
2026-06-18 00:00:00+05:30,2196.9542695909468,2201.927004470057,2170.101501243751,2191.285400390625,3735188,0.0,0.0
2026-06-19 00:00:00+05:30,2093.521413717831,2126.341464384191,2048.6672473500757,2113.412353515625,13286502,0.0,0.0
2026-06-22 00:00:00+05:30,2120.5729308842238,2145.237743488044,2109.434053749718,2116.197021484375,4566101,0.0,0.0
2026-06-23 00:00:00+05:30,2099.4885101234904,2102.4721508294924,2043.7938836114508,2048.368896484375,6392736,0.0,0.0
2026-06-24 00:00:00+05:30,2049.7612582514666,2109.1356624395376,2049.7612582514666,2097.49951171875,4747277,0.0,0.0
2026-06-25 00:00:00+05:30,2121.965363861958,2136.78401555451,2076.61392807904,2083.27734375,4738903,0.0,0.0
2026-06-26 00:00:00+05:30,2083.27734375,2083.27734375,2083.27734375,2083.27734375,0,0.0,0.0
2026-06-29 00:00:00+05:30,2078.6031371123327,2093.521341445675,2059.706744956766,2086.4599609375,3412470,0.0,0.0
2026-06-30 00:00:00+05:30,2078.60311543387,2092.8251853118586,2007.791421498655,2020.422119140625,6848411,0.0,0.0
2026-07-01 00:00:00+05:30,2028.776408877907,2040.8104030555382,1966.0205187179013,1971.788818359375,4658295,0.0,0.0
2026-07-02 00:00:00+05:30,1997.0503819057583,2065.5745732846704,1991.580373389582,2056.82275390625,6040621,0.0,0.0
2026-07-03 00:00:00+05:30,2088.5485393778363,2105.0581154318793,2073.6303355251375,2082.083984375,4028819,0.0,0.0
2026-07-06 00:00:00+05:30,2078.6031065753987,2081.5867473982344,2039.4180542258837,2046.3798828125,2567386,0.0,0.0
2026-07-07 00:00:00+05:30,2038.8212111731864,2111.124724588052,2037.8266642409067,2084.669921875,4769048,0.0,0.0
2026-07-08 00:00:00+05:30,2082.5813599967723,2098.1956989000228,2037.6278854106638,2046.2803955078125,3666985,0.0,0.0
2026-07-09 00:00:00+05:30,2046.280350211656,2053.7394523387943,2005.006651774823,2038.323974609375,3791498,0.0,0.0
2026-07-10 00:00:00+05:30,2093.7200783959847,2121.666943317309,2053.341620075063,2057.717529296875,6714551,0.0,0.0
2026-07-13 00:00:00+05:30,2063.684994131224,2192.8765503750355,2053.8390761022306,2169.604248046875,12382622,0.0,0.0
2026-07-14 00:00:00+05:30,2170.996422535663,2215.850586742918,2167.1177865856457,2188.60009765625,9546290,0.0,0.0
2026-07-15 00:00:00+05:30,2174.10009765625,2202.89990234375,2145.39990234375,2189.199951171875,5426489,12.0,0.0
2026-07-16 00:00:00+05:30,2206.0,2231.39990234375,2187.800048828125,2201.0,5197595,0.0,0.0
2026-07-17 00:00:00+05:30,2224.800048828125,2275.0,2215.10009765625,2269.0,5615138,0.0,0.0
